target distance: 50, step size: 10
83: (x, y) = (14.6107, 36.5793) 
84: (x, y) = (23.4141, 38.4505) 
85: (x, y) = (23.8851, 47.4382) 
86: (x, y) = (20.955, 55.9479) 
87: (x, y) = (18.1738, 47.3884) 
88: (x, y) = (9.2409, 48.4852) 
89: (x, y) = (13.4661, 56.4317) 
90: (x, y) = (17.9661, 64.2259) 
91: (x, y) = (25.2473, 58.9359) 
92: (x, y) = (20.3455, 66.4839) 
93: (x, y) = (13.0644, 71.774) 
94: (x, y) = (19.2024, 65.1918) 
95: (x, y) = (25.2246, 58.5035) 
96: (x, y) = (33.3137, 54.5581) 
97: (x, y) = (41.3328, 58.6441) 
98: (x, y) = (32.3382, 58.33) 
99: (x, y) = (27.8382, 50.5357) 
100: (x, y) = (28.6226, 59.5015) 
101: (x, y) = (24.3974, 67.448) 
102: (x, y) = (18.6123, 74.3424) 
103: (x, y) = (27.447, 76.0597) 
104: (x, y) = (35.9566, 73.1296) 
105: (x, y) = (44.76, 75.0008) 
106: (x, y) = (43.8192, 83.9515) 
107: (x, y) = (35.0499, 81.9269) 
108: (x, y) = (27.5018, 77.0252) 
109: (x, y) = (36.5005, 77.1822) 
110: (x, y) = (44.5195, 81.2682) 
111: (x, y) = (35.7869, 79.0909) 
112: (x, y) = (43.9436, 75.2873) 
113: (x, y) = (42.6911, 84.1997) 
114: (x, y) = (35.4099, 89.4898) 
115: (x, y) = (33.6926, 98.3244) 
116: (x, y) = (30.3212, 106.669) 
117: (x, y) = (31.7291, 115.558) 
118: (x, y) = (30.1663, 124.422) 
After 118 steps, the subject has the following location: 
(x, y) = (30.1663, 124.422).

or 
(m, a) = (128.026, 76.3715).

Average outward distance per step = 1.08497




